Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	0	1.9862313270568848	0.8029079437255859	438.63134765625	15.085031509399414	622.1282958984375	-0.0022316	-0.12833713	9.949596405029297	True
0	100	2.9775137901306152	0.701998233795166	417.7623291015625	1.989936351776123	301.4043884277344	0.05054314	-0.156944	0.7454723119735718	True
0	200	2.826117753982544	0.6825323104858398	408.3088684082031	1.947769045829773	284.9761047363281	0.12618579	-0.15468955	1.0541067123413086	True
0	300	2.8006937503814697	0.6414027214050293	443.822265625	1.7516231536865234	268.3780822753906	0.20007217	-0.078602195	0.6341854333877563	True
0	400	2.7590508460998535	0.6273586750030518	386.37109375	1.4869232177734375	256.6516418457031	0.2353282	0.3035038	0.5908035039901733	True
0	500	2.749081611633301	0.6363403797149658	393.54974365234375	1.2422212362289429	252.8305206298828	0.24715352	0.34602883	0.6414448022842407	True
0	600	2.742572784423828	0.6261565685272217	361.4073486328125	1.8197455406188965	251.69329833984375	0.25273412	0.38802764	0.5338841676712036	True
0	700	2.7360076904296875	0.624342679977417	355.26385498046875	0.9803016185760498	250.06895446777344	0.25651702	0.40308517	0.6211116909980774	True
0	800	2.738372564315796	0.6171867847442627	367.2370910644531	1.0143163204193115	249.9474334716797	0.257717	0.4293122	0.6636896133422852	True
0	900	2.732518434524536	0.618079423904419	411.4366455078125	0.4921965003013611	249.95843505859375	0.26084054	0.436402	0.7125285863876343	False
0	1000	2.7310681343078613	0.6574623584747314	328.5097961425781	1.1213996410369873	250.0588836669922	0.26240054	0.45269835	0.5381127595901489	True
0	1100	2.7763705253601074	0.6156787872314453	359.11932373046875	1.0661845207214355	248.34500122070312	0.26284593	0.45244196	0.7306609153747559	True
0	1200	2.7351338863372803	0.7032036781311035	368.3678894042969	0.7587844133377075	248.85552978515625	0.26349816	0.46835524	0.5260846614837646	False
0	1300	2.814985990524292	0.614814043045044	290.2395935058594	1.2109752893447876	248.49684143066406	0.2648417	0.4789377	0.6990344524383545	False
1	1400	1.9769296646118164	0.6159241199493408	352.3997802734375	1.035778284072876	248.15170288085938	0.26441437	0.47940284	0.8375884294509888	True
1	1500	2.7526278495788574	0.648895263671875	336.72772216796875	0.7215536832809448	248.3773193359375	0.26443708	0.48801363	0.5201706886291504	True
1	1600	2.751077890396118	0.6241540908813477	359.4879150390625	1.698885440826416	247.3556365966797	0.2660415	0.48363855	0.9608982801437378	True
1	1700	2.7996103763580322	0.6306509971618652	343.1173095703125	1.256033182144165	247.24595642089844	0.26710448	0.4940076	0.722558856010437	True
1	1800	2.763012647628784	0.6250877380371094	288.34014892578125	0.8962862491607666	247.42474365234375	0.26714835	0.49192578	0.7497625946998596	False
1	1900	2.791874408721924	0.6225008964538574	363.4067687988281	1.1724436283111572	247.06231689453125	0.26729682	0.50228524	0.5331481695175171	True
1	2000	3.174079179763794	0.8856689929962158	339.89727783203125	0.7436065673828125	247.1885986328125	0.2679112	0.5093988	1.002564787864685	False
1	2100	3.039407253265381	0.619300365447998	339.10931396484375	1.0198969841003418	247.27796936035156	0.2687959	0.512431	0.9872424006462097	False
1	2200	2.7591419219970703	0.6289138793945312	328.28564453125	0.7186905741691589	246.6258087158203	0.2693076	0.5185019	0.7668808102607727	True
1	2300	2.7535665035247803	0.6886045932769775	342.52618408203125	0.8927526473999023	246.94863891601562	0.2691048	0.51950157	0.7426621317863464	False
1	2400	2.8451690673828125	0.7063848972320557	329.7330322265625	0.8645158410072327	246.66160583496094	0.27011457	0.52550244	0.6078328490257263	True
1	2500	2.9073169231414795	0.6065719127655029	374.13653564453125	0.9074658751487732	246.456298828125	0.27061433	0.5320735	0.5941908359527588	True
1	2600	2.7478532791137695	0.8353335857391357	398.52783203125	1.0518395900726318	246.11582946777344	0.27117023	0.5325285	0.8228070139884949	True
2	2700	1.8670463562011719	1.1532599925994873	384.28131103515625	0.7633100152015686	246.40655517578125	0.27087218	0.53484046	0.7688666582107544	False
2	2800	3.343299150466919	0.6894469261169434	396.68218994140625	0.6206231117248535	245.91891479492188	0.27196845	0.5334097	0.8928073048591614	True
2	2900	3.0058584213256836	0.6501870155334473	350.03387451171875	0.6065676212310791	246.37889099121094	0.27209067	0.54108846	0.6065477728843689	False
2	3000	2.765878200531006	0.6162633895874023	324.86126708984375	0.8816636204719543	246.04693603515625	0.27140012	0.5314901	0.845611572265625	False
2	3100	2.7351229190826416	0.6531269550323486	381.65911865234375	0.7183583974838257	245.6884765625	0.2722378	0.54496527	0.9720614552497864	True
2	3200	2.791713237762451	0.6354677677154541	394.0335693359375	1.3443152904510498	246.03724670410156	0.2715744	0.52589285	1.4862184524536133	False
2	3300	2.9571692943573	0.6307175159454346	359.89617919921875	0.503092885017395	245.54067993164062	0.27317357	0.549014	0.9538387060165405	True
2	3400	2.745269298553467	0.995922327041626	323.1845397949219	1.1661018133163452	246.09959411621094	0.27267373	0.5381719	0.8584461212158203	False
2	3500	3.173750877380371	0.6999924182891846	356.6298828125	0.592357873916626	245.67376708984375	0.27284414	0.55668044	0.5908150672912598	True
2	3600	2.835148811340332	0.6371443271636963	394.52764892578125	0.6013808846473694	245.3675079345703	0.27360284	0.5531604	0.8966630697250366	True
2	3700	2.760868787765503	0.6529233455657959	344.54107666015625	1.2479333877563477	245.5056610107422	0.27315813	0.55647874	0.6776423454284668	True
2	3800	2.77880859375	0.6182832717895508	300.843017578125	0.6558725237846375	245.74609375	0.2735406	0.55365276	0.9338237047195435	False
2	3900	2.7384092807769775	0.6229550838470459	328.3544616699219	0.6826878786087036	245.3170928955078	0.27392375	0.5673059	0.9504458904266357	False
3	4000	1.437769889831543	0.6394915580749512	408.82037353515625	0.6848113536834717	245.24087524414062	0.2744405	0.5621091	0.8991612195968628	True
3	4100	2.7645037174224854	0.9012839794158936	351.209228515625	0.6107285022735596	246.48098754882812	0.27447876	0.5628722	1.2124543190002441	False
